================================================================================
UBERSETZUNGSPRUFUNG - ZUSAMMENFASSUNG
================================================================================
Referenz: Deutsch + Englisch
Geprueft: cs, da, el, es, fr, hi, it, ja, nl, no, pl, pt, sv, zh

--------------------------------------------------------------------------------
GESAMTSTATISTIK:
--------------------------------------------------------------------------------
  Fehlende Dateien:     0
  JSON-Fehler:          0
  Fehlende Schluessel:  0
  Leere Werte:          25368
  Zusaetzliche Keys:    167

--------------------------------------------------------------------------------
PRO SPRACHE:
--------------------------------------------------------------------------------
Sprache      Fehl.Datei  JSON-Fehler    Fehl.Keys         Leer        Extra
--------------------------------------------------------------------------------
cs                    0            0            0         1812           46
da                    0            0            0         1812            0
el                    0            0            0         1812           46
es                    0            0            0         1812            0
fr                    0            0            0         1812            0
hi                    0            0            0         1812            0
it                    0            0            0         1812            0
ja                    0            0            0         1812            0
nl                    0            0            0         1812           47
no                    0            0            0         1812            0
pl                    0            0            0         1812            0
pt                    0            0            0         1812           28
sv                    0            0            0         1812            0
zh                    0            0            0         1812            0

--------------------------------------------------------------------------------
DATEIEN MIT PROBLEMEN:
--------------------------------------------------------------------------------
Datei                                              Sprache  Status             Fehlt     Leer
--------------------------------------------------------------------------------
chat/cs.json                                       cs       INHALT                 0       80
chat/da.json                                       da       INHALT                 0       80
chat/el.json                                       el       INHALT                 0       80
chat/es.json                                       es       INHALT                 0       80
chat/fr.json                                       fr       INHALT                 0       80
chat/hi.json                                       hi       INHALT                 0       80
chat/it.json                                       it       INHALT                 0       80
chat/ja.json                                       ja       INHALT                 0       80
chat/nl.json                                       nl       INHALT                 0       80
chat/no.json                                       no       INHALT                 0       80
chat/pl.json                                       pl       INHALT                 0       80
chat/pt.json                                       pt       INHALT                 0       80
chat/sv.json                                       sv       INHALT                 0       80
chat/zh.json                                       zh       INHALT                 0       80
common/cs.json                                     cs       INHALT                 0       29
common/da.json                                     da       INHALT                 0       29
common/el.json                                     el       INHALT                 0       29
common/es.json                                     es       INHALT                 0       29
common/fr.json                                     fr       INHALT                 0       29
common/hi.json                                     hi       INHALT                 0       29
common/it.json                                     it       INHALT                 0       29
common/ja.json                                     ja       INHALT                 0       29
common/nl.json                                     nl       INHALT                 0       29
common/no.json                                     no       INHALT                 0       29
common/pl.json                                     pl       INHALT                 0       29
common/pt.json                                     pt       INHALT                 0       29
common/sv.json                                     sv       INHALT                 0       29
common/zh.json                                     zh       INHALT                 0       29
config/cs.json                                     cs       INHALT                 0        9
config/da.json                                     da       INHALT                 0        9
config/el.json                                     el       INHALT                 0        9
config/es.json                                     es       INHALT                 0        9
config/fr.json                                     fr       INHALT                 0        9
config/hi.json                                     hi       INHALT                 0        9
config/it.json                                     it       INHALT                 0        9
config/ja.json                                     ja       INHALT                 0        9
config/nl.json                                     nl       INHALT                 0        9
config/no.json                                     no       INHALT                 0        9
config/pl.json                                     pl       INHALT                 0        9
config/pt.json                                     pt       INHALT                 0        9
config/sv.json                                     sv       INHALT                 0        9
config/zh.json                                     zh       INHALT                 0        9
config\adguard/cs.json                             cs       INHALT                 0       26
config\adguard/da.json                             da       INHALT                 0       26
config\adguard/el.json                             el       INHALT                 0       26
config\adguard/es.json                             es       INHALT                 0       26
config\adguard/fr.json                             fr       INHALT                 0       26
config\adguard/hi.json                             hi       INHALT                 0       26
config\adguard/it.json                             it       INHALT                 0       26
config\adguard/ja.json                             ja       INHALT                 0       26
config\adguard/nl.json                             nl       INHALT                 0       26
config\adguard/no.json                             no       INHALT                 0       26
config\adguard/pl.json                             pl       INHALT                 0       26
config\adguard/pt.json                             pt       INHALT                 0       26
config\adguard/sv.json                             sv       INHALT                 0       26
config\adguard/zh.json                             zh       INHALT                 0       26
config\auth/cs.json                                cs       INHALT                 0       33
config\auth/da.json                                da       INHALT                 0       33
config\auth/el.json                                el       INHALT                 0       33
config\auth/es.json                                es       INHALT                 0       33
config\auth/fr.json                                fr       INHALT                 0       33
config\auth/hi.json                                hi       INHALT                 0       33
config\auth/it.json                                it       INHALT                 0       33
config\auth/ja.json                                ja       INHALT                 0       33
config\auth/nl.json                                nl       INHALT                 0       33
config\auth/no.json                                no       INHALT                 0       33
config\auth/pl.json                                pl       INHALT                 0       33
config\auth/pt.json                                pt       INHALT                 0       33
config\auth/sv.json                                sv       INHALT                 0       33
config\auth/zh.json                                zh       INHALT                 0       33
config\backup/cs.json                              cs       INHALT                 0       24
config\backup/da.json                              da       INHALT                 0       24
config\backup/el.json                              el       INHALT                 0       24
config\backup/es.json                              es       INHALT                 0       24
config\backup/fr.json                              fr       INHALT                 0       24
config\backup/hi.json                              hi       INHALT                 0       24
config\backup/it.json                              it       INHALT                 0       24
config\backup/ja.json                              ja       INHALT                 0       24
config\backup/nl.json                              nl       INHALT                 0       24
config\backup/no.json                              no       INHALT                 0       24
config\backup/pl.json                              pl       INHALT                 0       24
config\backup/pt.json                              pt       INHALT                 0       24
config\backup/sv.json                              sv       INHALT                 0       24
config\backup/zh.json                              zh       INHALT                 0       24
config\chromecast/cs.json                          cs       INHALT                 0       32
config\chromecast/da.json                          da       INHALT                 0       32
config\chromecast/el.json                          el       INHALT                 0       32
config\chromecast/es.json                          es       INHALT                 0       32
config\chromecast/fr.json                          fr       INHALT                 0       32
config\chromecast/hi.json                          hi       INHALT                 0       32
config\chromecast/it.json                          it       INHALT                 0       32
config\chromecast/ja.json                          ja       INHALT                 0       32
config\chromecast/nl.json                          nl       INHALT                 0       32
config\chromecast/no.json                          no       INHALT                 0       32
config\chromecast/pl.json                          pl       INHALT                 0       32
config\chromecast/pt.json                          pt       INHALT                 0       32
config\chromecast/sv.json                          sv       INHALT                 0       32
config\chromecast/zh.json                          zh       INHALT                 0       32
config\common/cs.json                              cs       INHALT                 0       33
config\common/da.json                              da       INHALT                 0       33
config\common/el.json                              el       INHALT                 0       33
config\common/es.json                              es       INHALT                 0       33
config\common/fr.json                              fr       INHALT                 0       33
config\common/hi.json                              hi       INHALT                 0       33
config\common/it.json                              it       INHALT                 0       33
config\common/ja.json                              ja       INHALT                 0       33
config\common/nl.json                              nl       INHALT                 0       33
config\common/no.json                              no       INHALT                 0       33
config\common/pl.json                              pl       INHALT                 0       33
config\common/pt.json                              pt       INHALT                 0       33
config\common/sv.json                              sv       INHALT                 0       33
config\common/zh.json                              zh       INHALT                 0       33
config\danger/cs.json                              cs       INHALT                 0       18
config\danger/da.json                              da       INHALT                 0       18
config\danger/el.json                              el       INHALT                 0       18
config\danger/es.json                              es       INHALT                 0       18
config\danger/fr.json                              fr       INHALT                 0       18
config\danger/hi.json                              hi       INHALT                 0       18
config\danger/it.json                              it       INHALT                 0       18
config\danger/ja.json                              ja       INHALT                 0       18
config\danger/nl.json                              nl       INHALT                 0       18
config\danger/no.json                              no       INHALT                 0       18
config\danger/pl.json                              pl       INHALT                 0       18
config\danger/pt.json                              pt       INHALT                 0       18
config\danger/sv.json                              sv       INHALT                 0       18
config\danger/zh.json                              zh       INHALT                 0       18
config\devices/cs.json                             cs       INHALT                 0       42
config\devices/da.json                             da       INHALT                 0       42
config\devices/el.json                             el       INHALT                 0       42
config\devices/es.json                             es       INHALT                 0       42
config\devices/fr.json                             fr       INHALT                 0       42
config\devices/hi.json                             hi       INHALT                 0       42
config\devices/it.json                             it       INHALT                 0       42
config\devices/ja.json                             ja       INHALT                 0       42
config\devices/nl.json                             nl       INHALT                 0       42
config\devices/no.json                             no       INHALT                 0       42
config\devices/pl.json                             pl       INHALT                 0       42
